"","Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Terrestrial","Marine","Freshwater","Aerial","Life.Habit.Method","Life.Habit.Source","Mass.g","Mass.Method","Mass.Source","Mass.Comparison","Mass.Comparison.Source","Island.Endemicity","IUCN.Status.1.2","Added.IUCN.Status.1.2","Diet.Plant","Diet.Vertebrate","Diet.Invertebrate","Diet.Method","Diet.Source"
"118","Alces_alces","Cetartiodactyla","Cervidae","Alces","alces",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",356998,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"428","Blarina_brevicauda","Eulipotyphla","Soricidae","Blarina","brevicauda",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",28,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",30,30,40,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"600","Canis_latrans","Carnivora","Canidae","Canis","latrans",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",13406.3,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",21,68,11,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"601","Canis_lupus","Carnivora","Canidae","Canis","lupus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",32183.3,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,100,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"648","Castor_canadensis","Rodentia","Castoridae","Castor","canadensis",1,0,1,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",21820,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"898","Condylura_cristata","Eulipotyphla","Talpidae","Condylura","cristata",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",84,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,20,80,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"1386","Dicrostonyx_hudsonius","Rodentia","Cricetidae","Dicrostonyx","hudsonius",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",57,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"1398","Didelphis_virginiana","Didelphimorphia","Didelphidae","Didelphis","virginiana",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",2195.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",20,60,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"1614","Erethizon_dorsatum","Rodentia","Erethizontidae","Erethizon","dorsatum",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",7085.3,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"1861","Glaucomys_sabrinus","Rodentia","Sciuridae","Glaucomys","sabrinus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",166,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"1862","Glaucomys_volans","Rodentia","Sciuridae","Glaucomys","volans",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",63.9,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"1936","Gulo_gulo","Carnivora","Mustelidae","Gulo","gulo",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",17012.6,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,100,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"2447","Lepus_americanus","Lagomorpha","Leporidae","Lepus","americanus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",1710,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"2448","Lepus_arcticus","Lagomorpha","Leporidae","Lepus","arcticus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",4405,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"2509","Lontra_canadensis","Carnivora","Mustelidae","Lontra","canadensis",1,1,1,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",8087.4,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,50,50,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"2558","Lynx_canadensis","Carnivora","Felidae","Lynx","canadensis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",9373.2,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,100,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"2561","Lynx_rufus","Carnivora","Felidae","Lynx","rufus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",8904.1,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,100,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"2693","Marmota_monax","Rodentia","Sciuridae","Marmota","monax",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",3801.7,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"2697","Martes_americana","Carnivora","Mustelidae","Martes","americana",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",1250,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",20,70,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"2703","Martes_pennanti","Carnivora","Mustelidae","Martes","pennanti",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",4000,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,100,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"2817","Mephitis_mephitis","Carnivora","Mephitidae","Mephitis","mephitis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",2085,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",50,30,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"2973","Microtus_chrotorrhinus","Rodentia","Cricetidae","Microtus","chrotorrhinus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",39,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"3012","Microtus_pennsylvanicus","Rodentia","Cricetidae","Microtus","pennsylvanicus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",36.8,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"3013","Microtus_pinetorum","Rodentia","Cricetidae","Microtus","pinetorum",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",26.3,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"3234","Mustela_erminea","Carnivora","Mustelidae","Mustela","erminea",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",119.4,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,90,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"3237","Mustela_frenata","Carnivora","Mustelidae","Mustela","frenata",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",147,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,100,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"3243","Mustela_nivalis","Carnivora","Mustelidae","Mustela","nivalis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",137.5,"Reported","Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 1 (2009)",NA,NA,"Occurs on mainland","LC","No",0,100,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"3261","Myodes_gapperi","Rodentia","Cricetidae","Myodes","gapperi",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",19,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
